iter	Logloss
0	0.6768824526
1	0.6622029561
2	0.647679582
3	0.6336794927
4	0.6197436908
5	0.6073387452
6	0.59447964
7	0.583535137
8	0.5730949207
9	0.5633107434
10	0.5539551105
11	0.5445399374
12	0.5352592723
13	0.5269702924
14	0.5191278323
15	0.5115242119
16	0.5043164372
17	0.4976977725
18	0.4903972211
19	0.4844010362
20	0.4786423015
21	0.4731155348
22	0.4678114484
23	0.462928893
24	0.4584693711
25	0.4541715101
26	0.4495387462
27	0.4455195504
28	0.44141139
29	0.4372159949
30	0.4336180668
31	0.430362535
32	0.4275753516
33	0.4249055496
34	0.4220405196
35	0.4193161367
36	0.4170706114
37	0.414469601
38	0.4118923486
39	0.4095922372
40	0.4075007293
41	0.4051597681
42	0.4035078135
43	0.401338054
44	0.3991992306
45	0.3973244223
46	0.3954964314
47	0.3938441116
48	0.3921908874
49	0.3906374904
50	0.3890164038
51	0.3876085254
52	0.3861899264
53	0.38484034
54	0.3835821244
55	0.3821714436
56	0.3806060673
57	0.3794950019
58	0.3782754254
59	0.3771687758
60	0.3758532996
61	0.3749653036
62	0.3738995488
63	0.3729737599
64	0.3719281774
65	0.371194814
66	0.3704306576
67	0.3696875946
68	0.3688114442
69	0.3682444203
70	0.367870764
71	0.3670814441
72	0.3666701719
73	0.3660311006
74	0.3651367452
75	0.3644954592
76	0.3638668585
77	0.3630248597
78	0.3623938715
79	0.3618668577
80	0.3613558756
81	0.3608542806
82	0.3601016252
83	0.3594333944
84	0.3585470958
85	0.3579469691
86	0.3574730589
87	0.357148359
88	0.35655592
89	0.3560718499
90	0.3555175947
91	0.354940449
92	0.3543884006
93	0.354305772
94	0.3537687917
95	0.3533019775
96	0.3527553132
97	0.3523219945
98	0.351783354
99	0.3515102875
100	0.3510340543
101	0.3505929437
102	0.350133963
103	0.3500184769
104	0.3496300721
105	0.3492782387
106	0.3489908673
107	0.3484962134
108	0.3483603709
109	0.3481118444
110	0.3478724611
111	0.347469013
112	0.3470216406
113	0.3467144213
114	0.3462900712
115	0.3458115501
116	0.345538797
117	0.3452283089
118	0.3449595963
119	0.3448020269
120	0.3445490532
121	0.3441969557
122	0.3439415403
123	0.3437334736
124	0.3434005598
125	0.3430742546
126	0.3428351673
127	0.342644238
128	0.3424386869
129	0.3421129523
130	0.3419301091
131	0.3416868166
132	0.3414718238
133	0.3413638363
134	0.3409904422
135	0.3407495649
136	0.3405142361
137	0.3403432452
138	0.3401795489
139	0.3400927941
140	0.3399269383
141	0.3397183529
142	0.3394926525
143	0.339333499
144	0.3391889265
145	0.3390248396
146	0.3388296502
147	0.3385794271
148	0.3383189385
149	0.3382452141
150	0.3381139552
151	0.3379943209
152	0.337913197
153	0.337654875
154	0.3374347052
155	0.3371260341
156	0.3368726562
157	0.3367419326
158	0.3364963255
159	0.3363058903
160	0.3360466154
161	0.3356974873
162	0.3355745159
163	0.3354577041
164	0.3352533001
165	0.3351844215
166	0.3350061613
167	0.3348764157
168	0.334662736
169	0.3344830399
170	0.3344738273
171	0.3342913909
172	0.3341715959
173	0.3340509841
174	0.3340163562
175	0.333944645
176	0.333855651
177	0.3336898982
178	0.3336717798
179	0.3334450387
180	0.3332510412
181	0.3330824492
